Step, 0, Loss, 0.11426067352294922, PSNR, 9.421032905578613, StepTime, 5.420141220092773, TrainTime, 5.420325994491577,
Step, 1, Loss, 0.11711688339710236, PSNR, 9.313804626464844, StepTime, 3.9639639854431152, TrainTime, 9.386384963989258,
Step, 2, Loss, 0.1363508403301239, PSNR, 8.653421401977539, StepTime, 3.905856132507324, TrainTime, 13.292933940887451,
Step, 3, Loss, 0.12457229942083359, PSNR, 9.045784950256348, StepTime, 3.9052810668945312, TrainTime, 17.19887900352478,
Step, 4, Loss, 0.119765505194664, PSNR, 9.216681480407715, StepTime, 3.8900070190429688, TrainTime, 21.089573860168457,
Step, 5, Loss, 0.11974074691534042, PSNR, 9.21757984161377, StepTime, 3.870037078857422, TrainTime, 24.960253953933716,
Step, 6, Loss, 0.11063705384731293, PSNR, 9.560993194580078, StepTime, 3.839918851852417, TrainTime, 28.80090093612671,
Step, 7, Loss, 0.11034571379423141, PSNR, 9.5724458694458, StepTime, 3.910120964050293, TrainTime, 32.711787939071655,
Step, 8, Loss, 0.12424280494451523, PSNR, 9.057287216186523, StepTime, 3.926105260848999, TrainTime, 36.638580083847046,
Step, 9, Loss, 0.12800714373588562, PSNR, 8.927659034729004, StepTime, 3.908989906311035, TrainTime, 40.54842400550842,
Step, 10, Loss, 0.11245131492614746, PSNR, 9.490354537963867, StepTime, 3.8792948722839355, TrainTime, 44.428427934646606,
Step, 11, Loss, 0.10962823033332825, PSNR, 9.600776672363281, StepTime, 3.8877665996551514, TrainTime, 48.316781759262085,
Step, 12, Loss, 0.10250278562307358, PSNR, 9.892643928527832, StepTime, 3.868166923522949, TrainTime, 52.185800075531006,
Step, 13, Loss, 0.10959228128194809, PSNR, 9.60219955444336, StepTime, 3.8530800342559814, TrainTime, 56.03965997695923,
Step, 14, Loss, 0.1175956055521965, PSNR, 9.296089172363281, StepTime, 3.8687641620635986, TrainTime, 59.90907001495361,
Step, 15, Loss, 0.11320608109235764, PSNR, 9.461301803588867, StepTime, 3.8530070781707764, TrainTime, 63.762752056121826,
Step, 16, Loss, 0.12672841548919678, PSNR, 8.971260070800781, StepTime, 3.8410019874572754, TrainTime, 67.60451412200928,
Step, 17, Loss, 0.11715206503868103, PSNR, 9.312500953674316, StepTime, 3.883378267288208, TrainTime, 71.488685131073,
Step, 18, Loss, 0.1109103187918663, PSNR, 9.550280570983887, StepTime, 3.866982936859131, TrainTime, 75.35639309883118,
Step, 19, Loss, 0.10309070348739624, PSNR, 9.867804527282715, StepTime, 3.883603096008301, TrainTime, 79.24059295654297,
Step, 20, Loss, 0.11050324141979218, PSNR, 9.566248893737793, StepTime, 3.925704002380371, TrainTime, 83.16739106178284,
Step, 21, Loss, 0.12007220834493637, PSNR, 9.205574989318848, StepTime, 3.904966115951538, TrainTime, 87.0731520652771,
Step, 22, Loss, 0.11350922286510468, PSNR, 9.449687957763672, StepTime, 3.8882670402526855, TrainTime, 90.96212887763977,
Step, 23, Loss, 0.10733356326818466, PSNR, 9.692644119262695, StepTime, 3.9164421558380127, TrainTime, 94.87928819656372,
Step, 24, Loss, 0.12314458936452866, PSNR, 9.095847129821777, StepTime, 3.90108585357666, TrainTime, 98.78111481666565,
Step, 25, Loss, 0.11573179811239243, PSNR, 9.365472793579102, StepTime, 3.8785459995269775, TrainTime, 102.66044187545776,
Step, 26, Loss, 0.1261591762304306, PSNR, 8.990812301635742, StepTime, 3.8744828701019287, TrainTime, 106.53555679321289,
Step, 27, Loss, 0.12648314237594604, PSNR, 8.979673385620117, StepTime, 3.8695030212402344, TrainTime, 110.40576601028442,
Step, 28, Loss, 0.12094946950674057, PSNR, 9.17396068572998, StepTime, 3.853271961212158, TrainTime, 114.25979495048523,
Step, 29, Loss, 0.12318843603134155, PSNR, 9.094300270080566, StepTime, 3.8866381645202637, TrainTime, 118.14713907241821,
Step, 30, Loss, 0.12061367928981781, PSNR, 9.186034202575684, StepTime, 3.8919849395751953, TrainTime, 122.03983688354492,
Step, 31, Loss, 0.11980827897787094, PSNR, 9.215130805969238, StepTime, 3.880697250366211, TrainTime, 125.9212281703949,
Step, 32, Loss, 0.13194823265075684, PSNR, 8.795964241027832, StepTime, 3.8787519931793213, TrainTime, 129.800696849823,
Step, 33, Loss, 0.10456395149230957, PSNR, 9.806180000305176, StepTime, 3.8769798278808594, TrainTime, 133.67829394340515,
Step, 34, Loss, 0.1205313429236412, PSNR, 9.189000129699707, StepTime, 3.867547035217285, TrainTime, 137.54651403427124,
Step, 35, Loss, 0.1141219288110733, PSNR, 9.426309585571289, StepTime, 3.8968820571899414, TrainTime, 141.44412398338318,
Step, 36, Loss, 0.12666694819927216, PSNR, 8.973366737365723, StepTime, 3.881294012069702, TrainTime, 145.32624101638794,
Step, 37, Loss, 0.1140621155500412, PSNR, 9.42858600616455, StepTime, 3.8924720287323, TrainTime, 149.2194480895996,
Step, 38, Loss, 0.1329900175333023, PSNR, 8.761809349060059, StepTime, 3.871946096420288, TrainTime, 153.09213399887085,
Step, 39, Loss, 0.09343069791793823, PSNR, 10.295104026794434, StepTime, 3.888723850250244, TrainTime, 156.9815878868103,
Step, 40, Loss, 0.11065520346164703, PSNR, 9.560280799865723, StepTime, 3.866716146469116, TrainTime, 160.8489809036255,
Step, 41, Loss, 0.13415560126304626, PSNR, 8.72391128540039, StepTime, 3.909087896347046, TrainTime, 164.7595498561859,
Step, 42, Loss, 0.09775196760892868, PSNR, 10.09874439239502, StepTime, 3.84934401512146, TrainTime, 168.60956192016602,
